sample_uid	A1	A1m	A1n	A1bf	A1id	9535_A	20180_A	16547_A	191006_A	A1bw	56151_A	A1bx	A1v	1032_A	A1eb	C1	C41	C1c	C1b	C41f	C41e	C39	C41a	C1f	C1ae	C72k	C1eb	C1w	C1ge	C3	C3ju	C1af	C1al	2669_C	C1ai	C41ap	C4a	C41o	C39ae	C3sf	14885_C	281_C	2667_C	13671_C	C1ch	37127_C	C40	C1t	C39u	73272_C	C1fj	C3sa	906_C	2833_C	C1bc	C39a	2836_C	C1a	2839_C	2188_C	C1l	25715_C	2089_C	21507_C	33564_C	12925_C	5429_C	C3cm	7599_C	C54f	C3gk	C1aa	11561_C	C89	11549_C	C1ly	6846_C	33398_C	57874_C	C1kv	C1it	C42.2	2685_C	16794_C	C1bo	2174033_C	C1n	C45e	217229_C	C1jt	21508_C	28857_C	21063_C	2721_C	2668_C	3611_C	1126_C	C1lx	7534_C	C1aw	C3ew	8634_C	45820_C	28071_C	C18d	94219_C	2064709_C	6394_C	21512_C	21511_C	14089_C	C1cu	6277_C	585010_C	26212_C	2686_C	C1hq	2713_C	2689_C	182421_C	C40e	54826_C	10218_C	C1jr	8196_C	2949_C	2662_C	C1lq	58372_C	2675_C	D1	D4	D1n	D2	D17d	D17c	D1r	D1fw	D1c	14945_D	42251_D	D5m
143811	0.44685172647257954	0.037914691943127965	0.011509817197020988	0.004739336492890996	0.008124576844955992	0.008124576844955992	0.008124576844955992	0.006093432633716994	0.005416384563303994	0.004062288422477996	0.004062288422477996	0	0.002708192281651997	0.002708192281651997	0	0.1909275558564658	0.05010155721056195	0	0.046039268788083954	0.01828029790115098	0.017603249830737983	0.03317535545023697	0.016249153689911984	0.010155721056194989	0.007447528774542992	0	0.013540961408259987	0	0	0	0	0.004062288422477996	0	0.006093432633716994	0	0.007447528774542992	0	0.005416384563303994	0.003385240352064997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002708192281651997	0	0	0	0.002708192281651997	0	0	0	0.002708192281651997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003385240352064997	0	0	0	0	0.002708192281651997	0.002708192281651997	0.002708192281651997	0	0	0	0	0	0	0	0	0	0	0	0
143804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6272094268880557	0.006963042313872523	0.14301017675415104	0.011783610069630423	0	0	0	0	0	0	0.025174076057846814	0	0.006963042313872523	0.00856989823245849	0.012319228709159078	0.010712372790573112	0.003749330476700589	0.011247991430101767	0	0	0	0	0	0	0.004284949116229245	0	0.011247991430101767	0	0	0.005356186395286556	0.003749330476700589	0	0.0058918050348152114	0	0.006427423674343867	0.004284949116229245	0.005356186395286556	0	0	0.0048205677557579	0	0	0	0	0	0	0	0	0	0.004284949116229245	0.003749330476700589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003749330476700589	0	0	0	0	0	0	0	0	0	0	0.0058918050348152114	0	0	0	0.0048205677557579	0	0	0	0	0.004284949116229245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003749330476700589	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028387787895018748	0.012319228709159078	0	0	0.0032137118371719335	0.0021424745581146223	0.004284949116229245	0	0	0	0	0
143814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44677769732078204	0.02389572773352643	0.06372194062273714	0.036929761042722664	0.01955104996379435	0.0065170166545981175	0.011585807385952208	0.00724112961622013	0.00724112961622013	0	0.010137581462708182	0.00724112961622013	0.00724112961622013	0.005792903692976104	0.005792903692976104	0.007965242577842143	0.002896451846488052	0.005068790731354091	0.005068790731354091	0	0.004344677769732078	0	0	0	0.007965242577842143	0	0	0	0	0.003620564808110065	0.003620564808110065	0.002896451846488052	0	0	0.0065170166545981175	0	0.005068790731354091	0	0	0	0	0	0	0	0	0.005068790731354091	0	0	0	0	0	0	0.005792903692976104	0	0	0.004344677769732078	0	0.003620564808110065	0	0.002896451846488052	0.003620564808110065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004344677769732078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003620564808110065	0.003620564808110065	0	0	0	0	0.002896451846488052	0.002896451846488052	0.002896451846488052	0	0	0	0.1498913830557567	0.056480811006517015	0	0.00941346850108617	0.005792903692976104	0.005068790731354091	0.002896451846488052	0.004344677769732078	0.002896451846488052	0.002896451846488052	0	0
143825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
