Feature,Frequency,nr_sampls_obsed_in
b5b83af10c3a2f269b1343b1f670175d,23,1
cfee20794a1988ff1436e34817b39c43,23,1
9a8d2804abefdc36b655e3ff3c5a83e8,23,2
e58ad61acdbc91a5d18e876d01a6e72c,23,1
f8d5f2de1e715ee5c45e70f99acb3931,23,1
4e01b8d76f74017811ad779133a5d93c,23,1
42084cf3e4c7070e98059fc5b99a3283,23,1
d81d45c54f135e193753b9a05e2b5d5a,23,1
1ca62896941f8da992eb8563d386740e,23,1
60f25f4b72c7189b21fc245ac87ae82e,23,2
bed4907afb05def94defce9c850a53e7,23,1
6f7110e5747b918bc2da639ab4bb8c0d,23,2
c0bd3e34d8651a577fee53b97dea2a31,22,1
8a7be4b675fad40e3ce781ddf86f9fbd,22,1
e21a28579ae4ee97526c7706cfd391ef,22,1
0142e3efbe4c804a7b44f9ddbfc319a6,22,1
38f3abec62f44f987f3457a8986e8df7,22,1
59be74b2567c2a9df60558316b3276cd,22,1
93eeaaa719fbd075d0b76090cd98ba45,22,1
d955207508b266ab934d38e8ba0f1cc4,22,1
37693fc4da7177d96a9cd741d266f179,22,1
ce6729a420e3866e9215ee28598422b4,21,1
da8c81825c62ded1cc77eb59ab49fd05,21,1
531a27e1760aed59f9117cb32df4d433,21,1
3de4815dbba9424cc0602a7846b4cbc1,21,1
7bce87ca51406d09fbf8e2f8e0fe881b,21,1
238f6eb81cb73de744f7a71dacc42754,21,2
243d344be9ac6ac60d51dec6175ffb9f,21,1
2832a0bcf6ae6d1d6c9e67822301c207,21,1
3d3e601debe1fa4d35c523a055fef918,21,2
48d7497bbeb27696237d4c5c55d378a3,21,1
a88422d6c27e5cb3f1c8a577ea10f7f6,21,1
548a83780f43a18df8a77c5458937001,21,1
8f87304871884bb2359a687bdc6dda18,20,1
fa84cdc745ca242a77ea9ce0f4904f4e,20,1
6e5c88569ffd95ababcb1e16323fa5b2,20,1
6961e2b6b3a53cefbf42ce0172b4dcd9,20,1
db48eb96460e207706fcb800e1167bda,20,1
79709e81127c9d6677ea408651a2645f,20,1
d0f8fdf7d3b6e8f65d454cff186d7fa3,19,1
1cd0e40200565d160d6354dfeb8f56a8,19,1
91f175525bf9221ea5ca84cc11f11d29,19,1
f67ac1ebfbc7026f364a16a4cd52b9cd,19,1
9d0cf2c5d52e2dd9d271ceb4eec07749,19,1
0816bfedc9181eeb34890fbd0607ae2e,19,1
a0a3fd51ac7ac42fb0052c86e9ab6ed1,19,1
b32570840c0d306cb2ec1b8b104d8f7e,18,1
c4246dfb397f65efeeb832836e302083,18,1
5f40e4c1013ba455c007d77c99c3d807,18,1
06e95b6abeb4110239ff8ce4d9b8d8a1,18,1
4bf772e7e3b580fabd7fd7b0a2c50726,18,1
6e0dd6549390e11fcb8b7b2d2386561f,18,1
cc7301e00f11b339efcfae5ba7aa2142,18,1
b795f2a86a9995ec9228faeab179c415,17,1
a315b6a7e22556655e8ea7ed5d650baf,17,1
9034589138f0a0ae26dbc3ec276308d8,17,1
30bbd5af7a49f186ab703532e2bc2bdc,16,1
f6373c04194a5732e528e41b5af75633,16,2
3a2a14a70805baf40a1c656c8c8834ac,16,1
668622e6041e48fac6c8847693f9cc1b,16,1
96180f10e41dd13129ccdc7bba2de6c1,16,1
c1a4a175328493ae5ec74225d2c4900f,16,2
cb00e0c93568092308a7075758707853,16,1
0998fcd4eaf8af75e914e1e3fb44b170,15,1
6782e5ff16d34570793fd2099080a3ed,15,1
79d2c50952f66559c3c1e15f7e3171c3,15,1
9bbb290f559f6be4f41679f1489d0b9c,15,1
9de6125d31106a560df99c7ca45fd081,15,1
137d4bf141d5b593fac385f52161011a,15,1
7d030b6ffbe0bf9430d11e973a841990,15,1
77f1e699e9870c8cc5105dbe847c778d,15,1
2a3d3dbcf4be9b9f286bf7e66b484f45,14,1
2bc1ae162999d0d184f3b59de3f9787e,14,1
41e347b1609af0fb8196fbb3f56aead8,14,1
2bdb8ad7ff25c3c56d4febc01190b2dc,14,1
503ed3bb0fdcef458bcabde755f72e76,14,1
419c126c177f30785cc40be21a92bfde,14,2
f6b4bcf2631b590cd73cea6a64d07254,14,1
386079bd63581f706306e9ab0c4a5a5d,14,1
c453560557f9d4234cea9654f59df119,14,1
be107b69be641b0a8ace7938b3c5c876,14,1
2eaf458abd1875d00f995f24951122bc,14,1
